CategoryGER,Keyword,KeywordId,StrCity,Date,Impressions,CategoryGERId
/Sport & Fitness/Sport/Fußball,armbrust sport,666099975,Stuttgart,20170202,1,2952
/Sport & Fitness/Sport/Fußball,fussball statistik,299640222459,Rottweil,20171208,1,2952
/Sport & Fitness/Sport/Fußball,feroti sport,307756316064,Karlsruhe,20171028,1,2952
/Sport & Fitness/Sport/Fußball,fussball trainingsmaterial shop,57425227772,Isny im Allgau,20170427,1,2952
/Sport & Fitness/Sport/Fußball,frisbee sport,297627753353,Sachsenheim,20171121,1,2952
/Sport & Fitness/Sport/Fußball,fitness magazin,156790617,Bietigheim-Bissingen,20171227,1,2952
/Sport & Fitness/Sport/Fußball,bodybuilding,3114779369,Mosbach,20170129,1,2952
/Sport & Fitness/Sport/Fußball,fussball turnierplan,3220944409,Leutkirch im Allgau,20171019,1,2952
/Sport & Fitness/Sport/Fußball,fussball vorhersage,20279768784,Karlsruhe,20170221,1,2952
/Sport & Fitness/Sport/Fußball,fussball vorhersage,14485647802,Berlin,20170108,1,2952
/Sport & Fitness/Sport/Fußball,fussball vorhersage,656001913,Bietigheim-Bissingen,20171018,1,2952
/Sport & Fitness/Sport/Fußball,handball markt,15308408260,Stuttgart,20170110,1,2952
/Sport & Fitness/Sport/Fußball,fitness delmenhorst preise,138143720174,Riedlingen,20170924,1,2952
/Sport & Fitness/Sport/Fußball,fussball vorhersage,656001913,Aalen,20171104,1,2952
/Sport & Fitness/Sport/Fußball,fussball vorhersage,656001913,Stutensee,20171122,1,2952
/Sport & Fitness/Sport/Fußball,handball markt,303680705673,Waldkirch,20171023,2,2952
/Sport & Fitness/Sport/Fußball,fussball vorhersage,20279768784,Schorndorf,20171115,1,2952
/Sport & Fitness/Sport/Fußball,handball markt,303680705673,Furth,20171023,1,2952
/Sport & Fitness/Sport/Fußball,handball markt,411227693,Besigheim,20171018,1,2952
/Sport & Fitness/Sport/Fußball,fussball vorhersage,14485647802,Stuttgart,20171129,1,2952
/Sport & Fitness/Sport/Fußball,handball markt,303680705673,Balingen,20171025,2,2952
/Sport & Fitness/Sport/Fußball,fitness tracker bluetooth,73079833955,Olching,20170116,1,2952
/Sport & Fitness/Sport/Fußball,handball markt,303680705673,Mannheim,20171025,2,2952
/Sport & Fitness/Sport/Fußball,handball markt,303680705673,Hoppegarten,20171106,1,2952
/Sport & Fitness/Sport/Fußball,handball markt,303680705673,Stuttgart,20171031,5,2952
/Sport & Fitness/Sport/Fußball,handball markt,303680705673,Lahr,20171030,1,2952
/Sport & Fitness/Sport/Fußball,handball markt,303680705673,Mannheim,20171030,5,2952
/Sport & Fitness/Sport/Fußball,handball markt,303680705673,Schorndorf,20171030,1,2952
/Sport & Fitness/Sport/Fußball,kinder sport,21668824630,Offenburg,20171112,1,2952
/Sport & Fitness/Sport/Fußball,bodybuilding,12617211,Furtwangen,20170127,1,2952
